priority,page,readiness_page,page_verdict,page_top_issue,evidence_type,evidence_id,status,owner_action,required_source,privacy_note,verification_gate
P0,/services/deck-repair,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,asset,deck-repair-hero-before-after,missing,Hero before/after image pair for deck repair hub,Original LDN Decks project photo or redacted owner-supplied document.,Use original project photos only; include city and month/year metadata if available.,"Asset should be added to public/ only after it is confirmed original, relevant, and safe to publish."
P0,/services/deck-repair,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,repair_cost_range,emergency-stabilization,missing,Provide verified low/high range for emergency stabilization.,"Historical invoice, accepted estimate, calculator data, or owner-confirmed pricing policy.",Remove customer and address details from any supporting document.,"May become verified and public only after low/high values are numeric, source-backed, and pass npm run seo:validate-evidence."
P0,/services/deck-repair,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,repair_cost_range,joist-sistering,missing,Provide verified low/high range for joist sistering.,"Historical invoice, accepted estimate, calculator data, or owner-confirmed pricing policy.",Remove customer and address details from any supporting document.,"May become verified and public only after low/high values are numeric, source-backed, and pass npm run seo:validate-evidence."
P0,/services/deck-repair,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,asset,joist-sistering-photo,missing,Joist sistering or framing repair photo,Original LDN Decks project photo or redacted owner-supplied document.,"Include only if repair scope is verified by estimate, invoice, or owner confirmation.","Asset should be added to public/ only after it is confirmed original, relevant, and safe to publish."
P0,/services/deck-repair,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,asset,ledger-failure-photo,missing,Ledger failure photo,Original LDN Decks project photo or redacted owner-supplied document.,Redact private address or identifying house numbers before publishing.,"Asset should be added to public/ only after it is confirmed original, relevant, and safe to publish."
P0,/services/deck-repair,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,repair_cost_range,ledger-reflash-rebolt,missing,Provide verified low/high range for ledger reflash/rebolt.,"Historical invoice, accepted estimate, calculator data, or owner-confirmed pricing policy.",Remove customer and address details from any supporting document.,"May become verified and public only after low/high values are numeric, source-backed, and pass npm run seo:validate-evidence."
P0,/services/deck-repair,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,repair_cost_range,post-replacement,missing,Provide verified low/high range for post replacement.,"Historical invoice, accepted estimate, calculator data, or owner-confirmed pricing policy.",Remove customer and address details from any supporting document.,"May become verified and public only after low/high values are numeric, source-backed, and pass npm run seo:validate-evidence."
P0,/services/deck-repair,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,asset,post-rot-photo,missing,"Provide owner-confirmed post rot photo with source, city/date context when available, and privacy-safe publish approval.",Original LDN Decks project photo or redacted owner-supplied document.,Show failure clearly enough for educational captioning.,"Asset should be added to public/ only after it is confirmed original, relevant, and safe to publish."
P0,/services/deck-repair,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,asset,railing-repair-before-after,missing,Railing repair before/after,Original LDN Decks project photo or redacted owner-supplied document.,Confirm whether code spacing/height issues were corrected before claiming code repair.,"Asset should be added to public/ only after it is confirmed original, relevant, and safe to publish."
P0,/services/deck-repair,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,asset,redacted-permit-or-inspection-screenshot,missing,Optional redacted permit or inspection screenshot,Original LDN Decks project photo or redacted owner-supplied document.,"Remove owner name, property address, permit number, and private notes before public use.","Asset should be added to public/ only after it is confirmed original, relevant, and safe to publish."
P0,/services/deck-repair,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,asset,resurfacing-before-after,missing,Composite resurfacing before/after,Original LDN Decks project photo or redacted owner-supplied document.,Confirm framing inspection status before claiming the substructure was saved.,"Asset should be added to public/ only after it is confirmed original, relevant, and safe to publish."
P0,/services/deck-repair,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,asset,stair-rebuild-before-after,missing,Stair rebuild before/after,Original LDN Decks project photo or redacted owner-supplied document.,Do not add a project story until scope and date are confirmed.,"Asset should be added to public/ only after it is confirmed original, relevant, and safe to publish."
P0,sitewide,/services/deck-repair,blocked,No verified warranty term recorded for repair proof modules.,warranty,repair-workmanship-warranty-term,missing,"Provide exact verified repair workmanship warranty term, scope, and limitations.","Written warranty policy, proposal language, or owner-approved warranty wording.",Do not guess duration or coverage.,Add to warranty_terms as verified only after exact wording is confirmed.
