asset_id,source_path,public_path,evidence_status,city,month_year,caption,owner_notes
deck-repair-hero-before-after,,/images/evidence/deck-repair-hero-before-after-before.jpg,partial,,,Hero before/after image pair for deck repair hub - before photo. Replace this caption after owner verification.,Use original project photos only; include city and month/year metadata if available.
deck-repair-hero-before-after,,/images/evidence/deck-repair-hero-before-after-after.jpg,partial,,,Hero before/after image pair for deck repair hub - after photo. Replace this caption after owner verification.,Use original project photos only; include city and month/year metadata if available.
ledger-failure-photo,,/images/evidence/ledger-failure-photo.jpg,partial,,,Ledger failure photo. Replace this caption after owner verification.,Redact private address or identifying house numbers before publishing.
post-rot-photo,,/images/evidence/post-rot-photo.jpg,partial,,,Post rot photo. Replace this caption after owner verification.,Show failure clearly enough for educational captioning.
stair-rebuild-before-after,,/images/evidence/stair-rebuild-before-after-before.jpg,partial,,,Stair rebuild before/after - before photo. Replace this caption after owner verification.,Do not add a project story until scope and date are confirmed.
stair-rebuild-before-after,,/images/evidence/stair-rebuild-before-after-after.jpg,partial,,,Stair rebuild before/after - after photo. Replace this caption after owner verification.,Do not add a project story until scope and date are confirmed.
railing-repair-before-after,,/images/evidence/railing-repair-before-after-before.jpg,partial,,,Railing repair before/after - before photo. Replace this caption after owner verification.,Confirm whether code spacing/height issues were corrected before claiming code repair.
railing-repair-before-after,,/images/evidence/railing-repair-before-after-after.jpg,partial,,,Railing repair before/after - after photo. Replace this caption after owner verification.,Confirm whether code spacing/height issues were corrected before claiming code repair.
resurfacing-before-after,,/images/evidence/resurfacing-before-after-before.jpg,partial,,,Composite resurfacing before/after - before photo. Replace this caption after owner verification.,Confirm framing inspection status before claiming the substructure was saved.
resurfacing-before-after,,/images/evidence/resurfacing-before-after-after.jpg,partial,,,Composite resurfacing before/after - after photo. Replace this caption after owner verification.,Confirm framing inspection status before claiming the substructure was saved.
joist-sistering-photo,,/images/evidence/joist-sistering-photo.jpg,partial,,,Joist sistering or framing repair photo. Replace this caption after owner verification.,"Include only if repair scope is verified by estimate, invoice, or owner confirmation."
redacted-permit-or-inspection-screenshot,,/images/evidence/redacted-permit-or-inspection-screenshot.jpg,partial,,,Optional redacted permit or inspection screenshot. Replace this caption after owner verification.,"Remove owner name, property address, permit number, and private notes before public use."
before-after-project-records,,/images/evidence/before-after-project-records-before.jpg,partial,,,"Owner-supplied project records for all four before/after cards: signed estimate or invoice, final scope, month/year, city/neighborhood, material selection, timeline, final cost, and permit/HOA status. - before photo. Replace this caption after owner verification.",Do not convert partial project summaries into proof-backed case studies until the matching project records are supplied and reviewed.
before-after-project-records,,/images/evidence/before-after-project-records-after.jpg,partial,,,"Owner-supplied project records for all four before/after cards: signed estimate or invoice, final scope, month/year, city/neighborhood, material selection, timeline, final cost, and permit/HOA status. - after photo. Replace this caption after owner verification.",Do not convert partial project summaries into proof-backed case studies until the matching project records are supplied and reviewed.
before-after-image-metadata,,/images/evidence/before-after-image-metadata-before.jpg,partial,,,"Original image metadata or owner confirmation tying each before/after pair to the correct project city, month/year, and scope. - before photo. Replace this caption after owner verification.","Photo files exist in public/Projectsbeforeandafter, but project linkage details still need owner confirmation."
before-after-image-metadata,,/images/evidence/before-after-image-metadata-after.jpg,partial,,,"Original image metadata or owner confirmation tying each before/after pair to the correct project city, month/year, and scope. - after photo. Replace this caption after owner verification.","Photo files exist in public/Projectsbeforeandafter, but project linkage details still need owner confirmation."
composite-cost-example-records,,/images/evidence/composite-cost-example-records.jpg,partial,,,Estimate/invoice-backed records for pricing examples before they are described as formal real project examples.. Replace this caption after owner verification.,"Current page labels these as estimating scenarios. Upgrade only after signed estimate/invoice, city, month/year, scope, materials, and final cost are verified."
