project_id,city,neighborhood,month_year,service_type,materials,verified_scope,verified_failure,work_performed,permit_or_hoa_status,before_photo_path,after_photo_path,evidence_status,owner_notes
showcase-custom-deck-reston,Reston,unspecified,February 2025,Custom deck installation,Not specified,Existing showcase image and public project page; before/after pair not yet verified.,Before/after evidence missing,Custom deck installation,Not recorded,,/images/img01.jpeg,partial,"Imported from existing public showcase data on 2026-06-01. Keep partial until owner-supplied before/after evidence, permit/HOA status, and scope are confirmed. Missing/weak fields to complete: neighborhood, materials, verified_failure, permit_or_hoa_status, before_photo_path."
showcase-metal-fence-centreville,Centreville,unspecified,February 2025,Metal fence installation,Metal fence,Existing showcase image and public project page; before/after pair not yet verified.,Before/after evidence missing,New metal fence installation,Not recorded,,/fence.webp,partial,"Imported from existing public showcase data on 2026-06-01. Keep partial until owner-supplied before/after evidence, permit/HOA status, and scope are confirmed. Missing/weak fields to complete: neighborhood, verified_failure, permit_or_hoa_status, before_photo_path."
showcase-deck-construction-manassas,Manassas,unspecified,February 2025,Deck construction,Not specified,Existing showcase image and public project page; before/after pair not yet verified.,Before/after evidence missing,Deck construction,Not recorded,,/images/img03.jpeg,partial,"Imported from existing public showcase data on 2026-06-01. Keep partial until owner-supplied before/after evidence, permit/HOA status, and scope are confirmed. Missing/weak fields to complete: neighborhood, materials, verified_failure, permit_or_hoa_status, before_photo_path."
showcase-deck-resurfacing-sterling,Sterling,unspecified,December 2024,Deck resurfacing,Not specified,Existing showcase image and public project page; before/after pair not yet verified.,Before/after evidence missing,Deck/balcony resurfacing,Not recorded,,/images/img04.jpeg,partial,"Imported from existing public showcase data on 2026-06-01. Keep partial until owner-supplied before/after evidence, permit/HOA status, and scope are confirmed. Missing/weak fields to complete: neighborhood, materials, verified_failure, permit_or_hoa_status, before_photo_path."
showcase-balcony-reconstruction-chantilly,Chantilly,unspecified,November 2024,Balcony reconstruction,Not specified,Existing showcase image and public project page; before/after pair not yet verified.,Before/after evidence missing,Balcony reconstruction,Not recorded,,/images/img05.jpeg,partial,"Imported from existing public showcase data on 2026-06-01. Keep partial until owner-supplied before/after evidence, permit/HOA status, and scope are confirmed. Missing/weak fields to complete: neighborhood, materials, verified_failure, permit_or_hoa_status, before_photo_path."
showcase-new-composite-deck-ashburn,Ashburn,unspecified,October 2024,Composite deck build,Composite decking,Existing showcase image and public project page; before/after pair not yet verified.,Before/after evidence missing,Built new composite deck,Not recorded,,/images/img10.jpeg,partial,"Imported from existing public showcase data on 2026-06-01. Keep partial until owner-supplied before/after evidence, permit/HOA status, and scope are confirmed. Missing/weak fields to complete: neighborhood, verified_failure, permit_or_hoa_status, before_photo_path."
before-after-project-1,Leesburg,,UNKNOWN - OWNER TO FILL,Deck resurfacing,UNKNOWN - OWNER TO FILL,Before/after image pair exists; owner must verify scope before public case-study use,UNKNOWN - OWNER TO FILL,UNKNOWN - OWNER TO FILL,UNKNOWN - OWNER TO FILL,/Projectsbeforeandafter/project1before.jpeg,/Projectsbeforeandafter/project1after.jpeg,partial,"OWNER TO FILL: month/year; neighborhood if safe; final material line/color; whether frame was reused; final cost or publishable range; timeline; permit/HOA status; whether any savings claim is publishable. Missing/weak fields to complete: neighborhood, month_year, materials, verified_failure, work_performed, permit_or_hoa_status."
before-after-project-2,Ashburn,,UNKNOWN - OWNER TO FILL,Elevated deck modernization,UNKNOWN - OWNER TO FILL,Before/after image pair exists; owner must verify structural scope before public case-study use,UNKNOWN - OWNER TO FILL,UNKNOWN - OWNER TO FILL,UNKNOWN - OWNER TO FILL,/Projectsbeforeandafter/project2before.jpeg,/Projectsbeforeandafter/project2after.jpeg,partial,"OWNER TO FILL: month/year; neighborhood/community if safe; final material line/color; frame/ledger/footing/stair/railing scope; final cost or publishable range; timeline; permit/HOA status; any code-compliance details. Missing/weak fields to complete: neighborhood, month_year, materials, verified_failure, work_performed, permit_or_hoa_status."
before-after-project-3,Manassas,,UNKNOWN - OWNER TO FILL,Backyard deck revitalization,UNKNOWN - OWNER TO FILL,Before/after image pair exists; owner must verify scope before public case-study use,UNKNOWN - OWNER TO FILL,UNKNOWN - OWNER TO FILL,UNKNOWN - OWNER TO FILL,/Projectsbeforeandafter/project3before.jpeg,/Projectsbeforeandafter/project3after.jpeg,partial,"OWNER TO FILL: month/year; neighborhood if safe; final material line/color; skirting/storage scope; final cost or publishable range; timeline; permit/HOA status. Missing/weak fields to complete: neighborhood, month_year, materials, verified_failure, work_performed, permit_or_hoa_status."
before-after-project-4,Sterling,,UNKNOWN - OWNER TO FILL,Townhome deck transformation,UNKNOWN - OWNER TO FILL,Before/after image pair exists; owner must verify scope before public case-study use,UNKNOWN - OWNER TO FILL,UNKNOWN - OWNER TO FILL,UNKNOWN - OWNER TO FILL,/Projectsbeforeandafter/project4before.jpeg,/Projectsbeforeandafter/project4after.jpeg,partial,"OWNER TO FILL: month/year; neighborhood/community if safe; final material line/color; townhome/HOA requirements; final cost or publishable range; timeline; permit/HOA status; remove any disruption/timeline claim unless verified. Missing/weak fields to complete: neighborhood, month_year, materials, verified_failure, work_performed, permit_or_hoa_status."
